Tanggal,Tn,Tx,Tavg,RH_avg,RR,ff_avg
2018-05-17,28,32,29.2,76,0,0
2018-05-18,27,33.8,29.5,75,0,1
2018-05-19,26,32,28.6,78,0,2
2018-05-20,27,32.4,29.1,75,0,1
2018-05-21,27,32.8,29.3,75,0,1
2018-05-22,27,34.6,29.9,73,0,1
2018-05-23,26,31.8,28.2,81,1.5,1
2018-05-24,26,33.4,28.9,77,5.5,1
2018-05-25,26,31,28.1,82,0.7,1
2018-05-26,26,34.4,29.5,79,1,1
2018-05-27,27,33,29.3,73,0,1
2018-05-28,27,32.6,29.3,78,0,1
2018-05-29,27,33.4,29.2,76,0,2
2018-05-30,27,33,29.3,74,0,1
2018-05-31,26,32.8,29.4,76,0,1
2018-06-01,27,35,29.7,66,0.5,1
2018-06-02,27,33.2,29.5,73,0,1
2018-06-03,27,33.4,29.5,76,0,1
2018-06-04,26,33,29,78,0,1
2018-06-05,27,32.4,29.1,81,0,1
2018-06-06,27,32,29.4,80,0,1
2018-06-07,28,32.4,29.4,79,0,1
2018-06-08,26,32.8,29.2,78,0,1
2018-06-09,27,34.4,29.2,78,0,1
2018-06-10,27,32.4,29.4,76,0,1
2018-06-11,27,34.8,30.5,69,0,1
2018-06-12,26,33.2,28.8,79,0,1
2018-06-13,26,33.6,29,74,1,1
2018-06-14,26,33.8,29.4,70,0,1
2018-06-15,27,33.8,29.5,69,0,1
2018-06-16,26,34.2,29.3,74,0,1
2018-06-17,27,34.2,29.9,69,0,2
2018-06-18,27,33.4,29.9,68,0,1
2018-06-19,25,33.8,28.6,70,0,1
2018-06-20,26,34.8,29.9,70,0,2
2018-06-21,27,33.4,29.4,70,0,2
2018-06-22,27,32.6,29,76,0,2
2018-06-23,27,33.4,29.5,72,0,1
2018-06-24,26,31.8,28,77,0,1
2018-06-25,24,29,24.9,89,3.2,0
2018-06-26,24,29.8,26.2,80,6.7,1
2018-06-27,25,32.8,27.8,78,1.1,1
2018-06-28,25,30.6,27.2,82,0,1
2018-06-29,25,31.8,27.6,79,0,2
2018-06-30,26,31.8,28.4,75,0,1
2018-07-01,25,31.6,28,76,0,1
2018-07-02,25,32.6,28.1,75,0,1
2018-07-03,26,32.4,28.3,75,0,1
2018-07-04,26,32,28.3,71,0,1
2018-07-05,26,32.8,28.4,66,0,1
2018-07-06,24,33.4,28.1,54,0,1
2018-07-07,24,32,27.3,64,0,1
2018-07-08,24,34.2,28.4,69,0,1
2018-07-09,25,33,28.4,72,0,1
2018-07-10,26,32.2,28.8,72,0,1
2018-07-11,27,31.4,28.6,72,0,1
2018-07-12,26,32.2,28,67,0,0
2018-07-13,25,31.4,27.4,69,0,1
2018-07-14,25,31.4,28.1,76,0,1
2018-07-15,25,31.4,27.9,65,0,1
2018-07-16,25,31.8,27.7,65,0,1
2018-07-17,24,32.4,27.7,69,0,1
2018-07-18,24,31.4,27.9,72,0,1
2018-07-19,25,32,28.4,75,0,1
2018-07-20,26,33.4,28.7,74,0,2
2018-07-21,26,32.2,29.2,71,0,1
2018-07-22,27,33.8,29.1,72,0,2
2018-07-23,25,32.8,28.8,70,0,2
2018-07-24,26,32.4,28.9,75,0,1
2018-07-25,27,33.2,28.7,76,0,1
2018-07-26,25,32.2,28.4,78,14.5,1
2018-07-27,25,33.8,28.7,69,0,1
2018-07-28,25,32.8,27.8,66,0,1
2018-07-29,25,30.4,27.4,71,0,1
2018-07-30,24,31.4,27.2,75,0,2
2018-07-31,24,33.2,27.8,75,0,1
2018-08-01,25,31.8,27.9,76,0,0
2018-08-02,25,32.6,27.9,66,0,1
2018-08-03,24,32.6,27.6,66,0,2
2018-08-04,23,31,26.9,66,0,1
2018-08-05,24,32.2,27.2,64,0,2
2018-08-06,24,31.8,27.1,62,0,1
2018-08-07,24,31.8,28.4,65,0,1
2018-08-08,25,30.8,27.5,72,0,1
2018-08-09,25,32,28.3,71,0,2
2018-08-10,25,32.8,28.2,72,0,2
2018-08-11,24,31.8,27.3,77,32.8,1
2018-08-12,25,30.8,28.1,76,0,1
2018-08-13,26,32.8,29.7,69,0,1
2018-08-14,26,33,28.1,76,0,1
2018-08-15,25,32.6,28.6,73,0,1
2018-08-16,26,31.8,28,72,0,1
2018-08-17,26,31,27.7,71,0,1
2018-08-18,25,30,27.1,65,0,1
2018-08-19,24,33.8,27.8,67,0,1
2018-08-20,25,34,29,66,0,1
2018-08-21,25,31.8,28.2,73,0,1
2018-08-22,26,31.6,28.4,72,0,1
2018-08-23,26,31.2,28.3,73,0,1
2018-08-24,26,32.2,28.6,73,0,1
2018-08-25,27,33,28.9,67,0,1
2018-08-26,25,33.4,28.8,69,0,2
2018-08-27,26,34.2,29.1,68,0,1
2018-08-28,26,32,28.6,75,0,2
2018-08-29,27,33,28.5,71,0,1
2018-08-30,27,33.4,29.1,70,0,1
2018-08-31,26,33.6,28.8,70,0,1
2018-09-01,24,32.8,27.6,77,10.6,2
2018-09-02,25,32.2,27.5,80,8888,1
2018-09-03,24,31.8,27.8,79,17.6,2
2018-09-04,26,31.2,27.9,65,0,1
2018-09-05,26,31.8,28.5,65,0,1
2018-09-06,26,34.2,29.8,67,0,1
2018-09-07,26,34.6,29.3,68,0,1
2018-09-08,26,32.4,28.8,72,0,1
2018-09-09,26,34.6,29.6,62,0,1
2018-09-10,26,35.2,30,60,0,1
2018-09-11,26,34.8,29.2,68,0,2
2018-09-12,25,32.8,29,68,0,1
2018-09-13,26,32.2,28.1,69,0,1
2018-09-14,25,31.4,28.1,66,0,1
2018-09-15,26,33.2,28.9,65,0,1
2018-09-16,26,34.2,29,63,0,2
2018-09-17,25,35.4,29.4,59,0,2
2018-09-18,25,34.8,30,60,0,2
2018-09-19,27,31.6,29,69,0,1
2018-09-20,27,33.4,29.3,67,8888,1
2018-09-21,25,29.2,27.2,79,8888,1
2018-09-22,25,33.6,28.4,73,36.6,1
2018-09-23,26,32.4,29,70,0,2
2018-09-24,25,32,28.5,71,0,1
2018-09-25,26,31.6,28.6,69,0,2
2018-09-26,26,33.2,29.1,65,0,2
2018-09-27,26,32.6,28.6,71,0,2
2018-09-28,25,35.4,28.8,69,8888,1
2018-09-29,25,33.5,28.6,67,0,1
2018-09-30,26,32,29.2,68,0,1
2018-10-01,27,33,29.3,71,0,2
2018-10-02,27,32,29,73,0,1
2018-10-03,26,32.4,29.4,72,0,2
2018-10-04,26,33.4,29.5,75,0,2
2018-10-05,27,34.4,30.8,67,0,2
2018-10-06,27,33.4,29.5,71,0,1
2018-10-07,27,35.4,30.1,63,0,1
2018-10-08,27,34.8,29.8,63,0,1
2018-10-09,26,35.2,30.5,58,0,2
2018-10-10,27,33,29.6,67,0,1
2018-10-11,27,32.8,30.1,68,0,1
2018-10-12,28,32.8,29.6,73,0,1
2018-10-13,27,33,29.9,67,0,1
2018-10-14,26,33.4,29.2,73,0,1
2018-10-15,27,33.6,30,71,0,1
2018-10-16,27,32,29.4,74,0,1
2018-10-17,27,33.6,29.5,73,0,1
2018-10-18,27,33.4,29.2,69,0,1
2018-10-19,25,33.2,28.8,71,14.3,1
2018-10-20,26,32.8,29.5,72,0,1
2018-10-21,27,34.6,30.2,68,0,1
2018-10-22,27,33,29.9,71,0,1
2018-10-23,24,32.8,27,83,26.8,1
2018-10-24,25,33.6,29.4,73,0.5,1
2018-10-25,26,33.2,29.6,73,0,1
2018-10-26,27,32.6,29.9,74,0,1
2018-10-27,26,32.6,29.1,74,2.5,1
2018-10-28,26,32.6,29.1,76,2.2,2
2018-10-29,25,32.2,28.6,80,94.5,1
2018-10-30,26,32.2,28.7,79,18.8,1
2018-10-31,27,34,29.7,71,0,1
2018-11-01,27,32.4,29.4,71,0,1
2018-11-02,25,32.6,28.9,76,20,1
2018-11-03,26,32.8,28.7,75,0,2
2018-11-04,25,31.4,28.8,76,0,1
2018-11-05,27,32,29.4,75,0,1
2018-11-06,27,33.2,29.7,69,0,1
2018-11-07,26,32.6,29,77,0,1
2018-11-08,27,31.4,28.4,80,0.5,1
2018-11-09,26,30.8,27.8,84,1.2,1
2018-11-10,26,32.4,28.5,76,8.5,1
2018-11-11,26,31,28.4,79,0,1
2018-11-12,26,32.6,28.9,77,8888,1
2018-11-13,27,33.2,29.1,74,0,1
2018-11-14,25,33.6,29.3,70,0,2
2018-11-15,27,36.6,29.9,65,0,2
2018-11-16,26,34,30.5,71,9.4,1
2018-11-17,28,33.8,30.4,67,0,1
2018-11-18,27,32.6,29.8,69,0,1
2018-11-19,26,32.4,29.6,72,0,1
2018-11-20,27,32.4,29.3,73,0,1
2018-11-21,27,33,29.8,70,0,1
2018-11-22,26,35,28.7,78,0,1
2018-11-23,26,32.8,27.8,82,47,1
2018-11-24,25,32,28.2,80,12,1
2018-11-25,26,31.6,28.6,77,0,1
2018-11-26,27,30,27.6,81,0,1
2018-11-27,24,32,28.2,79,13.2,1
2018-11-28,26,32.6,28.9,80,22,2
2018-11-29,26,31.6,27.9,81,0,1
2018-11-30,25,32,27.5,82,7.1,1
2018-12-01,25,31.2,28.6,80,8888,0
2018-12-02,27,31.6,29.1,74,0,1
2018-12-03,27,31,27.5,85,8888,0
2018-12-04,26,30.8,27.8,81,11.4,1
2018-12-05,25,33.2,28.2,82,2,1
2018-12-06,26,31.4,28.1,78,1,1
2018-12-07,26,32.4,28.9,75,4,1
2018-12-08,26,32.6,29.3,77,0,1
2018-12-09,27,31.6,29,79,8888,1
2018-12-10,27,31.6,28.5,79,0,1
2018-12-11,27,33.4,29.1,75,0,1
2018-12-12,27,33.6,28.4,78,0,1
2018-12-13,25,34.2,29.4,75,0.8,1
2018-12-14,26,34.2,29.3,70,8888,2
2018-12-15,26,32,28.5,73,6,2
2018-12-16,27,34.6,29.6,67,0,2
2018-12-17,27,35.4,30.2,67,0,2
2018-12-18,27,33.4,29.1,73,0,1
2018-12-19,26,33.6,28.4,78,23.4,2
2018-12-20,25,34.2,29.7,69,0,2
2018-12-21,27,32.4,29,66,0,2
2018-12-22,27,30,28.6,77,0,1
2018-12-23,26,30.6,27.3,78,0,2
2018-12-24,26,32.4,29,70,0,2
2018-12-25,24,31.6,27.1,81,0,3
2018-12-26,25,30,26.7,82,2.7,2
2018-12-27,25,33,28.8,71,1,3
2018-12-28,26,34,29.3,67,0,3
2018-12-29,26,34,29.5,72,0,4
2018-12-30,26,34.4,30.2,69,0,4
2018-12-31,27,32.8,28.8,71,0,3
2019-01-01,24,30.6,26,84,8.5,2
2019-01-02,24.2,33,28.3,75,2.3,2
2019-01-03,24.6,33.4,28.3,74,0.4,2
2019-01-04,24.8,34,29.3,67,0,3
2019-01-05,26.4,33.4,28.9,71,0,1
2019-01-06,26.6,32.6,29.4,72,8888,1
2019-01-07,27.4,33.4,29.7,77,0,2
2019-01-08,25,32,28.2,80,9.6,2
2019-01-09,26,32.4,28.9,80,3,2
2019-01-10,24,32.4,27.7,83,70.4,1
2019-01-11,25,31.6,29,79,2,1
2019-01-12,23.6,32,28.6,80,17,2
2019-01-13,25,32.2,28.1,81,3,1
2019-01-14,23,29.8,27.4,78,5.2,1
2019-01-15,26,32,28.5,79,1.6,2
2019-01-16,26.2,29.4,27.9,81,0,1
2019-01-17,26,32,28.3,78,2.3,2
2019-01-18,26,31.4,28,78,0,2
2019-01-19,24.6,30.6,27.5,81,17.6,1
2019-01-20,25.8,30.8,28.3,78,1.5,2
2019-01-21,26,30.4,27.6,84,3,1
2019-01-22,24.6,29.3,26.1,89,5.6,1
2019-01-23,24,31.6,27.5,80,26.9,1
2019-01-24,24.6,31,27.5,82,7,3
2019-01-25,24,29.4,26.3,87,45.1,1
2019-01-26,24.6,30.4,27.9,83,36.6,2
2019-01-27,24.6,28.8,27.4,86,11,1
2019-01-28,25.8,30.4,28.1,80,14,2
2019-01-29,23.8,30.4,27.8,80,1.4,1
2019-01-30,23.8,31,27.3,86,86.6,1
2019-01-31,25,31,26.8,86,0.6,2
2019-02-01,25,31,27,83,8.1,1
2019-02-02,24,30.8,27.9,80,2.2,2
2019-02-03,25.8,31.4,28,83,0,1
2019-02-04,26.6,31.6,28.5,80,14,2
2019-02-05,25.2,31.8,28.5,80,0,1
2019-02-06,26.2,31,27.4,84,4.5,1
2019-02-07,24,31.8,29.2,77,4.2,1
2019-02-08,26.2,31.6,28.4,83,0,2
2019-02-09,26.4,32.6,28.8,74,0,1
2019-02-10,25,32.6,27.9,82,0,2
2019-02-11,25,31.6,26.8,83,20.1,1
2019-02-12,25.6,29.8,27.8,82,14.5,2
2019-02-13,25.6,31.6,28.4,78,49,1
2019-02-14,24.6,31.8,28.7,76,0,1
2019-02-15,25.6,30.2,28.2,79,0,1
2019-02-16,25.5,30.6,27.6,84,20.5,1
2019-02-17,24.6,30.8,27.5,80,45,1
2019-02-18,24.8,32.2,29,76,8888,2
2019-02-19,27,33,29.3,76,8888,1
2019-02-20,26.6,31,28.1,84,24,1
2019-02-21,26,31.4,27.6,86,21.7,1
2019-02-22,25.6,31,27.8,80,10.4,2
2019-02-23,24,31.5,27.8,82,27,2
2019-02-24,25.8,32,28.4,77,2.4,2
2019-02-25,25,32.4,29.2,76,0,2
2019-02-26,26.4,34,29.7,76,0,2
2019-02-27,26,33.6,29.1,83,0,1
2019-02-28,26.6,32.6,29.1,82,2.5,1
